id_cust,status_cust,jml_anggota_keluarga,usia,jml_purchases,recency,jml_kunjungan_web,tingkat_pendidikan,response,pendapatan,jml_spendings,jml_anak,complain,tanggal_join,jml_campaigns
5524,Single,1,60.0,33,58,7,Graduate,1,Rp 348828000,1617,0,0,2012-04-09,0
2174,Single,3,63.0,7,38,5,Graduate,0,Rp 278064000,27,2,0,2014-08-03,0
4141,Taken,2,52.0,29,26,4,Graduate,0,Rp 429678000,776,0,0,2013-08-21,0
6182,Taken,3,33.0,10,26,6,Graduate,0,Rp 159876000,53,1,0,2014-10-02,0
5324,Taken,3,36.0,24,94,5,Postgraduate,0,Rp 349758000,422,1,0,2014-01-19,0
7446,Taken,3,50.0,28,16,6,Postgraduate,0,Rp 375078000,716,1,0,2013-09-09,0
965,Single,2,46.0,28,34,6,Graduate,0,Rp 333810000,590,1,0,2012-11-13,0
6177,Taken,3,32.0,14,32,8,Postgraduate,0,Rp 200724000,169,1,0,2013-08-05,0
4855,Taken,3,3991.0,9,19,9,Postgraduate,1,Rp 182106000,46,1,0,2013-06-06,0
5899,Taken,4,67.0,3,68,20,Postgraduate,0,Rp 33888000,49,2,0,2014-03-13,2
387,Taken,2,41.0,8,59,8,Undergraduate,0,Rp 0,61,0,0,2012-11-13,0
2125,Single,1,58.0,19,82,2,Graduate,0,Rp 378198000,1102,0,0,2013-11-15,0
8180,Single,3,65.0,21,53,6,Postgraduate,0,Rp 356124000,310,2,0,2013-11-15,0
2569,Taken,2,30.0,6,38,8,Graduate,0,Rp 103938000,46,0,0,2012-10-10,0
2114,Single,1,71.0,33,23,3,Postgraduate,1,Rp 496800000,1315,0,0,2012-11-24,1
9736,Taken,4,37.0,12,51,8,Graduate,0,Rp 251100000,96,2,0,2012-12-24,0
4939,Taken,2,71.0,17,20,7,Graduate,0,Rp 226560000,317,0,0,2012-08-31,0
6565,Taken,3,68.0,37,91,5,Postgraduate,0,Rp 461970000,1782,1,0,2013-03-28,0
2278,Single,2,32.0,10,86,6,Undergraduate,0,Rp 202872000,133,1,0,2012-03-11,0
9360,Taken,2,35.0,16,41,8,Graduate,0,Rp 222240000,316,0,0,2012-08-08,0
5376,Taken,3,38.0,43,42,1,Graduate,0,Rp 14682000,1730,1,0,2013-06-01,0
1993,Taken,3,68.0,19,63,8,Postgraduate,0,Rp 351642000,972,1,0,2012-12-23,1
4047,Taken,3,63.0,26,0,4,Postgraduate,0,Rp 391944000,544,1,0,2014-11-01,0
1409,Taken,3,66.0,27,69,8,Graduate,0,Rp 244134000,444,1,0,2013-03-18,0
7892,Single,1,48.0,10,89,7,Graduate,0,Rp 111534000,75,0,0,2013-02-01,0
2404,Taken,4,41.0,19,4,7,Graduate,0,Rp 320154000,257,2,0,2013-05-27,0
9422,Taken,3,28.0,11,26,3,Graduate,0,Rp 230160000,131,1,0,2013-05-31,0
1966,Taken,2,52.0,32,96,2,Postgraduate,0,Rp 507708000,1672,0,0,2013-11-22,1
6864,Single,1,28.0,11,34,5,Postgraduate,0,Rp 65874000,30,0,0,2014-05-22,0
3033,Taken,2,54.0,13,56,3,Postgraduate,0,Rp 231720000,318,0,0,2013-11-05,0
